Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
"September 29, 2020",2010,52251,33436,55360,39699,51519,52421,36012,50397,39607,49941,37282,51525,36276,48696,66969,47491,74028,42782,51842,26854,49021,59672,38740,36230,46449
"September 29, 2020",2011,53432,33891,56884,40923,51530,53383,37370,51574,40235,50714,38654,52059,37013,49481,69568,48498,76529,43336,53009,26897,49897,60929,39419,36134,47180
"September 29, 2020",2012,53547,33946,57182,40744,51982,53326,38773,51859,40299,50023,38772,52028,36945,49231,69653,48590,76901,42842,53617,26830,49300,60548,39822,35419,48977
"September 29, 2020",2013,52352,34049,56537,41156,51151,52177,39330,51601,40262,49016,39012,51425,37580,48423,66835,48917,72577,42140,53209,27756,48499,60864,39646,35649,48894
"September 29, 2020",2014,53170,34808,57551,42857,52331,52948,39790,52960,40944,49208,39730,52107,39178,49658,67180,50625,72746,42425,54075,28881,49133,62278,40548,37043,49840
"September 29, 2020",2015,55418,35825,59676,44792,53906,55144,40595,55229,42174,50884,40853,53792,40427,51557,69257,52722,77490,43550,55721,29131,50751,65176,41936,38252,54149
"September 29, 2020",2016,56643,36556,60313,45580,54875,55943,41162,56314,42634,51589,41234,55353,40752,52639,70289,53637,80545,44178,57663,28654,51309,65859,42553,38098,53714
"September 29, 2020",2017,57057,36535,60825,46142,55280,56540,42223,56964,43036,51717,42345,56051,40848,53204,70730,54824,80458,44637,58721,29364,51329,65478,42505,38501,54730
"September 29, 2020",2018,58602,37436,62240,47451,56874,57830,42415,58245,44067,52712,43021,57163,42127,54366,72452,56820,82868,45662,59881,29161,52499,67662,43510,38855,55443
"October 29, 2021",2019,58844,37738,62846,48593,57330,58240,42680,58525,45289,52595,43422,58396,43455,54863,72148,57481,82058,46086,60750,28829,53331,68013,44288,38732,54823
